Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type
JTI,"Analyste - Solutions d'affaires, Service des Technologies numériques et de l'information","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,Associate
Meltwater,"Analyst, GTM Planning & Analytics","Toronto, ON",Reposted 6 days ago,Hybrid,Full-time,Entry Level
Outlier,Work from Home - AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Independent Mechanical Supply,Data Analyst,"Mississauga, ON",6 days ago,On-site,Full-time,
CIBC,"Senior Analyst, Risk Analytics and Portfolio Management","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
Luxoft,Senior Data Analyst,"Toronto, ON",3 weeks ago,On-site,Full-time,Mid-Senior Level
Digital Research Alliance of Canada | Alliance de recherche numérique du Canada ,Cybersecurity Data Analyst,Canada,4 days ago,Remote,Full-time,Mid-Senior Level
ClifyX,"BI - SSIS, SSRS","Toronto, ON",3 months ago,On-site,Full-time,Mid-Senior Level
Tata Consultancy Services,Data Analyst - GCP,"Mississauga, ON",2 weeks ago,On-site,Full-time,
Merkle,"Lead Analyst, Analytics",Canada,Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
TekRek,Senior Data Analyst,"Toronto, ON",3 weeks ago,Remote,,Mid-Senior Level
Outlier,AI Math Analyst,"Whitby, ON",4 days ago,Remote,Full-time,
Outlier,AI Math Analyst,"Newmarket, ON",3 days ago,Remote,Full-time,Mid-Senior Level
The Whitestone Group,Business Intelligence Specialist,"Toronto, ON",1 day ago,On-site,,
Campus4Tech,Are You A Maintenance Technician Looking To Transition Your Career To Become Data Analyst,Canada,5 days ago,Remote,Full-time,Associate
TELUS Digital,Online Data Analyst,"Rouyn-Noranda, QC",2 weeks ago,Remote,,Entry Level
Sobeys,"Analyst Business Intelligence, Contract","Stellarton, NS",4 days ago,Hybrid,,Entry Level
Outlier,AI Math Analyst,"Vaughan, ON",2 weeks ago,Remote,Full-time,
Campus4Tech,Are You A Quality Control Inspector Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate
eSentire,Threat Intelligence Analyst,"Waterloo, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
CAE,C-IT-105 Data Analyst,"Montreal, Quebec, Canada",Reposted 6 days ago,,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,Part-time,Entry Level
Sunnybrook,Data Analyst (DAD/NACRS Coder) - Decision Support - Temporary Full-Time 2024-7887 (2024-7887),"Toronto, ON",4 months ago,On-site,Full-time,Entry Level
Warman O'Brien,Principal biostatistician,"Ontario, Canada",2 weeks ago,Hybrid,Full-time,
Pratt & Whitney Canada,Stage-Hiver-Analyste de données / Internship-Winter-Data Analyst,"Longueuil, QC",Reposted 6 days ago,On-site,Full-time,Mid-Senior Level
Sobeys,"Analyst Business Intelligence, Contract","Calgary, AB",4 days ago,Hybrid,,Entry Level
ResMed,Data Science Analyst (m/w/d),"Saint-Augustin-de-Woburn, QC",3 days ago,,Full-time,
Picton Mahoney Asset Management,"Analyst, Sales Intelligence","Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
