Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
Sobeys,"Senior Financial Analyst, Sourcing & Analytics","Mississauga, ON",2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110793
HOOPP (Healthcare of Ontario Pension Plan),"Sr. Analyst, Analytics (12-month contract)","Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.110798
Fengate Asset Management,"Senior Analyst, Data Analytics (18-month Contract)","Oakville, ON",1 week ago,Hybrid,,Associate,2024-11-02 14:19:19.110803
Amazech Solutions,Senior Business Intelligence Specialist,"Toronto, ON",3 days ago,Hybrid,,Mid-Senior Level,2024-11-06 14:19:19.110807
Staples Canada,Business Services Analyst - Business Insights & Intelligence,"Richmond Hill, ON",2 months ago,Hybrid,Full-time,,2024-09-10 14:19:19.110810
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",1 day ago,On-site,Full-time,Mid-Senior Level,2024-11-08 14:19:19.110814
Canadian Tire Corporation,"Data Analyst Student, Customer Analytics (4 months) - Winter 2025","Oakville, ON",11 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-09 03:19:19.110818
"Varsity Tutors, a Nerdy Company",Remote Business Statistics Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.110825
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",5 hours ago,Remote,Part-time,Entry Level,2024-11-09 09:19:19.110837
TELUS Digital AI Data Solutions,Online Data Analyst,"Manitoba, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.110843
TELUS Digital AI Data Solutions,Online Data Analyst,"Winkler, MB",5 hours ago,Remote,Part-time,Entry Level,2024-11-09 09:19:19.110847
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 4 days ago,,Full-time,Associate,2024-11-05 14:19:19.110850
Magna International,"Analyst, HR Systems (6-Month Contract)","Aurora, ON",4 days ago,Hybrid,,Mid-Senior Level,2024-11-05 14:19:19.110854
Campus4Tech,Are You A Recruiter Looking To Transition Your Career To Become Data Analyst,Canada,6 days ago,Remote,Full-time,Associate,2024-11-03 14:19:19.110857
Compunnel Inc.,Information Risk Management Analyst II,"Ontario, Canada",1 hour ago,Remote,,Mid-Senior Level,2024-11-09 13:19:19.110860
Colliers,Business Analyst - Data Science and BI,"Toronto, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110864
Condair USA/CA,"Data Analyst, Sales","Ottawa, ON",Reposted 6 days ago,On-site,Full-time,Associate,2024-11-03 14:19:19.110884
Aston Carter,Franchise Data Analyst,"Toronto, ON",3 hours ago,Hybrid,,Entry Level,2024-11-09 11:19:19.110888
Canadian Tire Corporation,"Data Science Student, Credit Risk Analytics (4 months) - Winter 2025","Oakville, ON",13 hours ago,Hybrid,Full-time,,2024-11-09 01:19:19.110892
